32	640573+336	0	22	1	34589at4891|ptg000017l|+|29|0.0003071|1|640573|640908|640573[640573]:640908[640908]:336[336]
32	590833-601	0	33	-1	34589at4891_1|ptg000017l|-|320|7.718e-92|2|590233|590833|590833[590833]:590783[590783]:51[51]|590703[590703]:590233[590233]:471[471]
32	164125+726	0	42	1	28907at4891_4|ptg000017l|+|50|1.464e-10|1|164125|164850|164125[164125]:164850[164850]:726[726]
32	648538-870	0	104	-1	11155at4891_8|ptg000017l|-|71|6.982e-17|1|647669|648538|648538[648538]:647669[647669]:870[870]
10	173489-564	0	127	-1	34052at4891|ptg000006l|-|177|8.606e-49|1|172926|173489|173489[173489]:172926[172926]:564[564]
10	699757-828	0	156	-1	28236at4891_6|ptg000006l|-|143|1.478e-38|1|698930|699757|699757[699757]:698930[698930]:828[828]
12	425314-1449	0	19	-1	1653at4891_1|ptg000007l|-|55|4.576e-12|1|423866|425314|425314[425314]:423866[423866]:1449[1449]
14	852322-2055	0	35	-1	1653at4891_4|ptg000008l|-|1143|0|1|850268|852322|852322[852322]:850268[850268]:2055[2055]
14	405062-336	0	43	-1	34589at4891_3|ptg000008l|-|35|4.798e-06|1|404727|405062|405062[405062]:404727[404727]:336[336]
14	609464+828	0	57	1	28907at4891_7|ptg000008l|+|38|5.997e-07|1|609464|610291|609464[609464]:610291[610291]:828[828]
14	76512+783	0	135	1	25236at4891_2|ptg000008l|+|414|3.897e-120|1|76512|77294|76512[76512]:77294[77294]:783[783]
14	771443+55890	0	151	1	28236at4891_5|ptg000008l|+|38|5.997e-07|2|771443|827332|771443[771443]:771499[771499]:57[57]|826652[826652]:827332[827332]:681[681]
18	74458+795	0	52	1	28907at4891_6|ptg000010l|+|38|5.997e-07|1|74458|75252|74458[74458]:75252[75252]:795[795]
18	93695+1020	0	57	1	28907at4891_7|ptg000010l|+|45|4.686e-09|1|93695|94714|93695[93695]:94714[94714]:1020[1020]
18	113081+984	0	67	1	28907at4891_9|ptg000010l|+|41|7.497e-08|1|113081|114064|113081[113081]:114064[114064]:984[984]
0	177780+831	0	44	1	10361at4891_7|ptg000001l|+|73|1.746e-17|1|177780|178610|177780[177780]:178610[178610]:831[831]
0	154747-780	0	57	-1	28907at4891_7|ptg000001l|-|44|9.371e-09|1|153968|154747|154747[154747]:153968[153968]:780[780]
2	203021+741	0	57	1	28907at4891_7|ptg000002l|+|43|1.874e-08|1|203021|203761|203021[203021]:203761[203761]:741[741]
2	361722+432	0	63	1	34589at4891_7|ptg000002l|+|58|5.72e-13|1|361722|362153|361722[361722]:362153[362153]:432[432]
4	33292+279	0	22	1	34589at4891|ptg000003l|+|34|9.596e-06|1|33292|33570|33292[33292]:33570[33570]:279[279]
4	855700+1566	0	32	1	28907at4891_2|ptg000003l|+|573|5.332e-168|2|855700|857265|855700[855700]:856305[856305]:606[606]|856309[856309]:857265[857265]:957[957]
4	282269-3450	0	54	-1	10361at4891_9|ptg000003l|-|862|5.361e-255|2|278820|282269|282269[282269]:280947[280947]:1323[1323]|280682[280682]:278820[278820]:1863[1863]
4	340001-345	0	113	-1	39786at4891_6|ptg000003l|-|149|2.31e-40|1|339657|340001|340001[340001]:339657[339657]:345[345]
8	1307489+2175	0	13	1	1653at4891_0|ptg000005l|+|243|1.166e-68|1|1307489|1309663|1307489[1307489]:1309663[1309663]:2175[2175]
8	302834-561	0	68	-1	34589at4891_8|ptg000005l|-|87|1.065e-21|1|302274|302834|302834[302834]:302274[302274]:561[561]
8	457851-645	0	107	-1	29457at4891_6|ptg000005l|-|294|5.18e-84|1|457207|457851|457851[457851]:457207[457207]:645[645]
20	806542+390	0	48	1	34589at4891_4|ptg000011l|+|46|2.343e-09|1|806542|806931|806542[806542]:806931[806931]:390[390]
20	674820+1182	0	129	1	13726at4891_2|ptg000011l|+|662|8.615e-195|1|674820|676001|674820[674820]:676001[676001]:1182[1182]
24	115356-777	0	52	-1	28907at4891_6|ptg000013l|-|39|2.999e-07|1|114580|115356|115356[115356]:114580[114580]:777[777]
26	157761-792	0	37	-1	28907at4891_3|ptg000014l|-|47|1.171e-09|1|156970|157761|157761[157761]:156970[156970]:792[792]
26	607718-744	0	52	-1	28907at4891_6|ptg000014l|-|38|5.997e-07|1|606975|607718|607718[607718]:606975[606975]:744[744]
26	208371+909	0	57	1	28907at4891_7|ptg000014l|+|36|2.399e-06|1|208371|209279|208371[208371]:209279[209279]:909[909]
28	187492+1890	0	54	1	10361at4891_9|ptg000015l|+|144|7.392e-39|1|187492|189381|187492[187492]:189381[189381]:1890[1890]
