#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
12837at4891_2|ptg000006l:622470-623798   -            443 12837at4891          -            352  7.1e-182  601.4   6.3   1   1  5.1e-182  1.9e-179  593.3   6.3     1   352    18   431    18   431 0.89 -
12837at4891_0|ptg000016l:281303-282562   -            420 12837at4891          -            352   6.6e-81  269.3   0.1   1   3   1.2e-10   4.6e-08   29.6   0.0     1    48     6    53     6    75 0.88 -
12837at4891_0|ptg000016l:281303-282562   -            420 12837at4891          -            352   6.6e-81  269.3   0.1   2   3   5.3e-33     2e-30  103.2   0.0    38   194    74   254    55   271 0.82 -
12837at4891_0|ptg000016l:281303-282562   -            420 12837at4891          -            352   6.6e-81  269.3   0.1   3   3     4e-42   1.5e-39  133.2   0.1   196   325   284   420   281   420 0.93 -
6544at4891_2|ptg000013l:354915-356426    -            504 12837at4891          -            352   2.7e-46  155.4   6.6   1   2     6e-22   2.3e-19   66.8   6.3     1   196    86   328    86   346 0.74 -
6544at4891_2|ptg000013l:354915-356426    -            504 12837at4891          -            352   2.7e-46  155.4   6.6   2   2   1.5e-25   5.7e-23   78.7   0.0   195   330   359   499   349   504 0.89 -
25443at4891_0|ptg000005l:1090778-1091671 -            298 12837at4891          -            352   9.3e-06   22.1   0.1   1   2   1.8e-05     0.007   12.6   0.0   156   213     3    74     1    84 0.75 -
25443at4891_0|ptg000005l:1090778-1091671 -            298 12837at4891          -            352   9.3e-06   22.1   0.1   2   2   0.00093      0.36    7.0   0.0   259   313   198   259   174   273 0.83 -
25443at4891_0|ptg000011l:218278-219159   -            294 12837at4891          -            352   3.9e-05   20.0   0.0   1   2   0.00017     0.066    9.4   0.0   157   212     2    71     1    83 0.72 -
25443at4891_0|ptg000011l:218278-219159   -            294 12837at4891          -            352   3.9e-05   20.0   0.0   2   2   0.00035      0.13    8.4   0.0   245   325   178   267   155   275 0.75 -
28600at4891_2|ptg000011l:842915-843604   -            230 12837at4891          -            352    0.0011   15.3   0.0   1   1   3.2e-06    0.0012   15.1   0.0   143   241     5   119     1   193 0.67 -
25443at4891_8|ptg000017l:509411-510151   -            247 12837at4891          -            352    0.0029   13.9   0.0   1   2   2.4e-05    0.0093   12.2   0.0   157   211     4    67     2   113 0.79 -
25443at4891_8|ptg000017l:509411-510151   -            247 12837at4891          -            352    0.0029   13.9   0.0   2   2      0.29   1.1e+02   -1.2   0.0   261   305   150   199   127   213 0.55 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/12837at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/12837at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/12837at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:35 2024
# [ok]
